No,Nama_Dosen,Prodi,Fakultas,Profile_URL_SINTA,Profile_URL_GScholar,Sinta_Score,Sinta_Score_3Yr,Affil_Score,Affil_Score_3Yr,Total_Publikasi_GS,Sitasi_GS,h_index_GS,i10_index_GS,Pub_2020,Pub_2021,Pub_2022,Pub_2023,Pub_2024,Pub_2025,Pub_2026,Kategori_Kinerja,Anomali,Keterangan_Anomali
652,HIDRAWATI,Agribisnis (S1),Fakultas Ekonomi dan Bisnis,https://sinta.kemdiktisaintek.go.id/authors/profile/6710994,https://scholar.google.com/citations?user=kik0FhwAAAAJ,476,137,7262440,522446,34,223,5,3,6,6,4,11,1,0,0,Produktif,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
653,ABDUL RAHMAN NURDIN,Budidaya Perairan (S1),Fakultas Perikanan dan Ilmu Kelautan,https://sinta.kemdiktisaintek.go.id/authors/profile/6691547,https://scholar.google.com/citations?user=j7xHZIoAAAAJ,446,21,1979290,74888,34,205,7,4,0,3,9,2,0,0,0,Produktif,Tidak,
654,HAERUDDIN,Agrobisnis Perikanan (S1),Fakultas Ekonomi dan Bisnis,https://sinta.kemdiktisaintek.go.id/authors/profile/6179141,https://scholar.google.com/citations?user=jG7X9fUAAAAJ,1280,720,0,0,34,90,6,2,3,4,5,2,7,5,0,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
655,ANUGRAH PUSPITA AYU MUHAMMAD,Pendidikan Bahasa Inggris (S1),Fakultas Keguruan dan Ilmu Pendidikan,https://sinta.kemdiktisaintek.go.id/authors/profile/6660545,https://scholar.google.com/citations?user=fLfcI9kAAAAJ,118,65,1120510,515894,34,78,4,4,3,2,6,4,6,6,3,Cukup,Tidak,
656,RASMUDDIN,Ilmu Hukum (S1),Fakultas Hukum,https://sinta.kemdiktisaintek.go.id/authors/profile/6911314,https://scholar.google.com/citations?user=PlEW9J0AAAAJ,347,184,1318720,673025,34,73,5,3,0,0,4,8,8,3,0,Cukup,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
657,MARWAN ZAM MILI,Teknik Pertambangan (S1),Fakultas Teknik,https://sinta.kemdiktisaintek.go.id/authors/profile/6704163,https://scholar.google.com/citations?user=wYLwybYAAAAJ,242,111,2336160,996965,34,61,4,0,0,2,3,8,4,7,3,Cukup,Tidak,
658,PUTU NARA KUSUMA PRASANJAYA,Peternakan (S1),Fakultas Peternakan,https://sinta.kemdiktisaintek.go.id/authors/profile/6690399,https://scholar.google.com/citations?user=jnweu9MAAAAJ,76,16,1157680,329873,34,57,5,1,3,2,2,5,5,7,4,Rendah,Tidak,
659,SITI NURFADILAH H.,Kesehatan Masyarakat (S1),Fakultas Kesehatan Masyarakat,https://sinta.kemdiktisaintek.go.id/authors/profile/6896139,https://scholar.google.com/citations?user=JJmGnv4AAAAJ,203,188,1281420,955457,34,57,4,2,2,0,0,3,9,16,0,Cukup,Tidak,
660,MALIUDIN,Sastra Indonesia (S1),Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/6666709,https://scholar.google.com/citations?user=AX0wUaAAAAAJ,75,52,1313220,319474,34,52,4,1,2,4,2,4,4,2,0,Rendah,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
661,CONNY,Manajemen (S1),Fakultas Ekonomi dan Bisnis,https://sinta.kemdiktisaintek.go.id/authors/profile/6043917,https://scholar.google.com/citations?user=X8m99DQAAAAJ,773,379,0,0,34,51,4,1,0,0,0,1,4,22,7,Produktif,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. [D] Lonjakan Tidak Wajar: 450% di Tahun 2025. 
662,YOO EKA YANA KANSIL,Pendidikan Guru Sekolah Dasar (S1),Fakultas Keguruan dan Ilmu Pendidikan,https://sinta.kemdiktisaintek.go.id/authors/profile/5980556,https://scholar.google.com/citations?user=v89GmcoAAAAJ,172,36,1404660,289076,34,47,4,1,2,1,4,4,6,4,0,Cukup,Tidak,
663,NUR HASANAH,Pendidikan Geografi (S1),Fakultas Keguruan dan Ilmu Pendidikan,https://sinta.kemdiktisaintek.go.id/authors/profile/6082823,https://scholar.google.com/citations?user=UwRTcR4AAAAJ,4196,770,0,0,34,38,4,0,0,0,1,0,8,11,9,Berpengaruh,Ya,[A] Nama Duplikat: Indikasi Profil Ganda. [B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
664,HANNIN PRADITA NUR SOULTHONI,Ilmu Kesejahteraan Sosial (S1),Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/6923301,https://scholar.google.com/citations?user=2eEXx2MAAAAJ,232,119,1176500,802060,34,36,4,1,0,1,0,1,3,20,3,Cukup,Ya,[D] Lonjakan Tidak Wajar: 567% di Tahun 2025. 
665,FADLI MA'MUN PANCAR SM,Peternakan (S1),Fakultas Peternakan,https://sinta.kemdiktisaintek.go.id/authors/profile/6822580,https://scholar.google.com/citations?user=8n3RCdwAAAAJ,263,243,844907,556425,34,26,3,0,0,0,0,6,9,11,6,Cukup,Tidak,
666,AWALUDDIN,Proteksi Tanaman (S1),Fakultas Pertanian,https://sinta.kemdiktisaintek.go.id/authors/profile/6102698,https://scholar.google.com/citations?user=UWV-mG4AAAAJ,1680,749,1680,749,34,24,2,1,0,2,1,8,13,1,7,Berpengaruh,Ya,[A] Nama Duplikat: Indikasi Profil Ganda. [B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. [D] Lonjakan Tidak Wajar: 700% di Tahun 2023. [D] Lonjakan Tidak Wajar: 600% di Tahun 2026. 
667,LA MANGUNTARA,Ilmu Pemerintahan (S1),Fakultas Ilmu Sosial dan Ilmu Politik,https://sinta.kemdiktisaintek.go.id/authors/profile/6679325,https://scholar.google.com/citations?user=9LQTD_sAAAAJ,30,12,1303490,788439,34,14,2,0,0,0,4,7,10,6,3,Rendah,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
668,LA ODE SAFIUDDIN,Fisika (S2),Fakultas MIPA,https://sinta.kemdiktisaintek.go.id/authors/profile/5995475,https://scholar.google.com/citations?user=iau7534AAAAJ,279,82,1409480,171693,33,355,9,9,3,0,0,0,3,3,0,Cukup,Tidak,
669,LAMBERTUS,Unknown,Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/6869254,https://scholar.google.com/citations?user=oOVE2vcAAAAJ,359,262,0,0,33,236,9,9,4,1,0,2,2,0,0,Cukup,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
670,BASRIN MELAMBA,Ilmu Sejarah (S1),,https://sinta.kemdiktisaintek.go.id/authors/profile/6227397,,158,42,3283140,843472,33,193,8,4,0,0,0,0,0,0,0,Cukup,Diperbaiki,Sinta Profile Rescued
671,KURNIATI ORNAM,Arsitektur (S1),Fakultas Teknik,https://sinta.kemdiktisaintek.go.id/authors/profile/6005589,https://scholar.google.com/citations?user=sIPt-X0AAAAJ,336,61,1820130,275825,33,159,6,4,1,1,3,0,3,3,1,Cukup,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
672,MUNAWIR MAKMUR,Administrasi Bisnis (S1),Fakultas Ilmu Sosial dan Ilmu Politik,https://sinta.kemdiktisaintek.go.id/authors/profile/6861134,https://scholar.google.com/citations?user=MjpG_swAAAAJ,85,62,982548,804403,33,117,5,2,1,0,3,6,10,10,2,Rendah,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
673,NURYAMIN BUDI,Manajemen (S1),Fakultas Ekonomi dan Bisnis,https://sinta.kemdiktisaintek.go.id/authors/profile/5973899,https://scholar.google.com/citations?user=YTXXcjgAAAAJ,80,33,961523,144415,33,108,5,2,5,3,1,1,3,6,5,Rendah,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
674,LA ODE MUHAMMAD HARAFAH,Ilmu Ekonomi (S3),Fakultas Ekonomi dan Bisnis,https://sinta.kemdiktisaintek.go.id/authors/profile/6662402,https://scholar.google.com/citations?user=CYUiohkAAAAJ,134,65,924459,28085,33,56,4,1,0,0,1,3,2,1,0,Cukup,Tidak,
675,MEGAFIRMAWANTI LASINTA,Unknown,Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/6767989,https://scholar.google.com/citations?user=BJlu-mcAAAAJ,60,33,1186260,706527,33,52,3,1,1,0,1,6,2,9,7,Rendah,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. [D] Lonjakan Tidak Wajar: 500% di Tahun 2023. [D] Lonjakan Tidak Wajar: 350% di Tahun 2025. 
676,UTU RAHIM,Unknown,Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/6196299,https://scholar.google.com/citations?user=DjLDpswAAAAJ,92,0,2383510,0,32,293,9,6,4,1,0,0,0,0,0,Rendah,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
677,ENDAH WIDYASTUTI,Ilmu Hukum (S1),Fakultas Hukum,https://sinta.kemdiktisaintek.go.id/authors/profile/6114596,https://scholar.google.com/citations?user=R88gqdcAAAAJ,92,42,92,42,32,247,6,4,6,3,3,4,4,4,0,Rendah,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
678,RAHMAD SOFYAN PATADJAI,Budidaya Perairan (S1),Fakultas Perikanan dan Ilmu Kelautan,https://sinta.kemdiktisaintek.go.id/authors/profile/6743252,https://scholar.google.com/citations?user=3e1XsfQAAAAJ,326,61,1726770,211452,32,226,9,8,2,2,4,1,3,3,2,Cukup,Tidak,
679,NOHONG,Kimia (S1),Fakultas MIPA,https://sinta.kemdiktisaintek.go.id/authors/profile/6692285,https://scholar.google.com/citations?user=C0TRmXYAAAAJ,402,267,2032100,1135770,32,162,7,4,0,0,5,4,6,8,1,Produktif,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
680,SUHARTIWI,"Pendidikan Jasmani, Kesehatan Dan Rekreasi (S1)",Fakultas Keguruan dan Ilmu Pendidikan,https://sinta.kemdiktisaintek.go.id/authors/profile/6715818,https://scholar.google.com/citations?user=lh4romoAAAAJ,338,132,0,0,32,161,7,5,3,4,8,5,6,2,0,Cukup,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
681,"SARMAN, S.PD.,M.PD",Ilmu Sejarah (S1),Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/6784366,https://scholar.google.com/citations?user=aZ0vU7UAAAAJ,708,387,708,387,32,140,6,5,1,1,2,7,8,6,0,Produktif,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
682,JAFAR,Pendidikan Profesi Guru (Profesi),Fakultas Keguruan dan Ilmu Pendidikan,https://sinta.kemdiktisaintek.go.id/authors/profile/6196415,https://scholar.google.com/citations?user=2b6d880AAAAJ,1974,697,0,0,32,93,5,3,6,1,0,0,0,0,0,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
683,NURJANNAH,Sastra Inggris (S1),Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/6168653,https://scholar.google.com/citations?user=UHmPA-oAAAAJ,1043,515,0,0,32,92,5,3,0,1,1,4,14,8,0,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
684,LUTHER PAGILING,Teknik Elektro (S1),Fakultas Teknik,https://sinta.kemdiktisaintek.go.id/authors/profile/6692431,https://scholar.google.com/citations?user=le_haxcAAAAJ,197,70,768727,327837,32,87,5,3,1,1,5,6,8,4,0,Cukup,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
685,WA ODE RACHMASARI ARIANI,Ekonomi Pembangunan (S1),Fakultas Ekonomi dan Bisnis,https://sinta.kemdiktisaintek.go.id/authors/profile/6693868,https://scholar.google.com/citations?user=Q1N7g5oAAAAJ,183,88,1044470,375606,32,72,6,2,8,2,2,1,6,9,0,Cukup,Ya,[D] Lonjakan Tidak Wajar: 500% di Tahun 2024. 
686,SURIYANI BB,Ilmu Administrasi Negara (S1),Fakultas Ilmu Sosial dan Ilmu Politik,https://sinta.kemdiktisaintek.go.id/authors/profile/6693710,https://scholar.google.com/citations?user=AGUPWYkAAAAJ,26,8,1067790,414011,32,61,4,3,0,1,3,5,12,5,0,Rendah,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
687,MANSUR,Teknik Elektro (S1),Fakultas Teknik,https://sinta.kemdiktisaintek.go.id/authors/profile/6017317,https://scholar.google.com/citations?user=utAalgoAAAAJ,1880,788,1880,788,32,51,4,1,1,1,0,6,8,5,1,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
688,UMAR ODE HASANI,Kehutanan (S1),Fakultas Kehutanan dan Ilmu Lingkungan,https://sinta.kemdiktisaintek.go.id/authors/profile/6197515,https://scholar.google.com/citations?user=Ab7mHXoAAAAJ,379,258,1198230,533327,32,50,4,1,1,0,1,3,7,12,0,Cukup,Tidak,
689,"DR. RIZAL, S.PD., M.HUM",Pendidikan Ekonomi (S1),Fakultas Keguruan dan Ilmu Pendidikan,"https://sinta.kemdiktisaintek.go.id/authors?q=DR.+RIZAL,+S.PD.,+M.HUM&search=1",https://scholar.google.com/citations?user=B9IMlT4AAAAJ,0,0,0,0,32,50,4,1,8,4,4,5,0,1,0,Buruk,Tidak,
690,NASRUL,Teknik Sipil (S1),Fakultas Teknik,https://sinta.kemdiktisaintek.go.id/authors/profile/257765,https://scholar.google.com/citations?user=Tgf-jcwAAAAJ,5505,930,0,0,32,40,3,1,6,7,9,0,0,0,0,Berpengaruh,Ya,[A] Nama Duplikat: Indikasi Profil Ganda. [B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
691,SURIANA,Biologi (S1),Fakultas MIPA,https://sinta.kemdiktisaintek.go.id/authors/profile/6664038,https://scholar.google.com/citations?user=goUm9EYAAAAJ,786,233,0,0,32,36,4,1,2,2,3,6,0,1,0,Produktif,Ya,[A] Nama Duplikat: Indikasi Profil Ganda. [B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
692,MARIANI L,Teknologi Pangan (S1),Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/6765699,https://scholar.google.com/citations?user=s2-imVsAAAAJ,229,142,0,0,32,34,3,1,0,3,3,11,7,4,1,Cukup,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
693,SAHABUDDIN HAY,Teknik Elektronika (D3),Fakultas Teknik,https://sinta.kemdiktisaintek.go.id/authors/profile/6656959,https://scholar.google.com/citations?user=-b5mRTQAAAAJ,68,36,1213960,456914,32,21,3,0,1,0,3,3,5,5,0,Rendah,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
694,HAFIDAH NUR,Kehutanan (S1),Fakultas Kehutanan dan Ilmu Lingkungan,https://sinta.kemdiktisaintek.go.id/authors/profile/6982758,https://scholar.google.com/citations?user=5kJdawwAAAAJ,107,102,1331420,1256530,32,20,2,0,0,0,0,5,13,12,0,Rendah,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
695,"SRI AFRIANTI UTAMI, S.IP, M.A.P",Ilmu Politik (S1),Fakultas Ilmu Sosial dan Ilmu Politik,https://sinta.kemdiktisaintek.go.id/authors/profile/6917645,https://scholar.google.com/citations?user=Uoh0mRUAAAAJ,24,6,238435,187534,31,505,6,5,5,55,70,101,128,115,18,Rendah,Diperbaiki,Sinta Profile Rescued (Extreme Mode)
696,ANDI NOOR KHOLIDHA SYARIFIN,Kedokteran (S1),Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/6119309,https://scholar.google.com/citations?user=hcF6V3MAAAAJ,440,93,1773210,141224,31,425,8,7,8,2,4,2,0,1,1,Produktif,Tidak,
697,NURRIJAL,Pendidikan Biologi (S1),Fakultas Keguruan dan Ilmu Pendidikan,https://sinta.kemdiktisaintek.go.id/authors/profile/5990490,https://scholar.google.com/citations?user=yi5Z6HsAAAAJ,161,86,1797000,989159,31,159,4,3,0,0,1,8,7,4,0,Cukup,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. [D] Lonjakan Tidak Wajar: 700% di Tahun 2023. 
698,TEGUH PERMANA,Ekonomi Pembangunan (S1),Fakultas Ekonomi dan Bisnis,https://sinta.kemdiktisaintek.go.id/authors/profile/6737562,https://scholar.google.com/citations?user=cd_bi-wAAAAJ,79,40,941134,575003,31,155,6,2,1,2,4,4,5,8,5,Rendah,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
699,WAODE NURAIDA,Agroteknologi (S1),Fakultas Pertanian,https://sinta.kemdiktisaintek.go.id/authors/profile/6685584,https://scholar.google.com/citations?user=I-FzHksAAAAJ,171,90,1203370,545653,31,153,7,5,2,3,4,5,3,9,1,Cukup,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
700,EVA HERIK,Psikologi (S1),Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/6810254,https://scholar.google.com/citations?user=9f280CUAAAAJ,114,26,431567,278340,31,106,5,3,0,0,0,0,0,0,0,Rendah,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
701,NASARUDDIN,Biologi (S1),Fakultas MIPA,https://sinta.kemdiktisaintek.go.id/authors/profile/58411,https://scholar.google.com/citations?user=qurZIBoAAAAJ,4251,1185,4290,1224,31,97,5,2,0,0,5,7,0,1,1,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
702,JUMRANA,Ilmu Komunikasi (S1),Fakultas Ilmu Sosial dan Ilmu Politik,https://sinta.kemdiktisaintek.go.id/authors/profile/6829433,https://scholar.google.com/citations?user=8l6RjCAAAAAJ,117,54,1418660,379348,31,76,4,2,3,1,1,2,6,1,1,Rendah,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
703,SATIRA JUSUF,Akuntansi (S1),Fakultas Ekonomi dan Bisnis,https://sinta.kemdiktisaintek.go.id/authors/profile/6693361,https://scholar.google.com/citations?user=yCHAmOkAAAAJ,33,13,1159210,504817,31,61,5,1,0,6,4,3,4,3,3,Rendah,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
704,"HARMIATY BAHAR, S.E., M.M.",Manajemen (S1),Fakultas Ekonomi dan Bisnis,https://sinta.kemdiktisaintek.go.id/authors/profile/6993111,https://scholar.google.com/citations?user=Zz7lAS4AAAAJ,22,15,869752,480008,31,60,4,2,0,0,0,2,8,11,9,Rendah,Diperbaiki,Sinta Profile Rescued (Extreme Mode)
705,LA ODE MUHAMAD SULIHIN,Ilmu Hukum (S1),Fakultas Hukum,https://sinta.kemdiktisaintek.go.id/authors/profile/6655443,https://scholar.google.com/citations?user=WlpVPeEAAAAJ,203,122,817233,548894,31,58,4,1,1,3,0,10,7,7,0,Cukup,Tidak,
706,AL RUBAIYN,Teknik Geofisika (S1),Fakultas Teknik,https://sinta.kemdiktisaintek.go.id/authors/profile/6707532,https://scholar.google.com/citations?user=KipsoboAAAAJ,347,119,1078260,669360,31,54,4,2,1,1,2,9,5,5,2,Cukup,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. [D] Lonjakan Tidak Wajar: 350% di Tahun 2023. 
707,SUFIAH ASRI MULYAWATI,Kedokteran (S1),Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/6703369,https://scholar.google.com/citations?user=8Y0-YGcAAAAJ,730,263,1587590,658962,31,53,5,1,3,3,3,5,5,6,3,Produktif,Tidak,
708,HASBUDIN,Akuntansi (S1),Fakultas Ekonomi dan Bisnis,https://sinta.kemdiktisaintek.go.id/authors/profile/6686352,https://scholar.google.com/citations?user=pf6axFMAAAAJ,51,3,1898000,1782,31,53,4,1,3,0,0,0,0,0,0,Rendah,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
709,MUAMMAR MAKMUR,Teknik Sipil (S1),Fakultas Teknik,https://sinta.kemdiktisaintek.go.id/authors/profile/6861667,https://scholar.google.com/citations?user=ohth3Z0AAAAJ,59,47,555330,101716,31,51,5,1,2,5,2,4,8,19,10,Rendah,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
710,IRIYANI ASTUTI ARIEF,Ilmu Politik (S1),Fakultas Ilmu Sosial dan Ilmu Politik,https://sinta.kemdiktisaintek.go.id/authors/profile/6851960,https://scholar.google.com/citations?user=pmUUTbAAAAAJ,77,62,1335920,918267,31,48,4,0,2,1,1,6,9,9,0,Rendah,Ya,[D] Lonjakan Tidak Wajar: 500% di Tahun 2023. 
711,WAODE SYAHRANI HAJRI RASJID,Pendidikan Profesi Ners (Profesi),Fakultas Keguruan dan Ilmu Pendidikan,https://sinta.kemdiktisaintek.go.id/authors/profile/6101015,https://scholar.google.com/citations?user=ihtFrdIAAAAJ,1235,289,1107040,153130,31,44,4,1,1,2,7,2,5,4,1,Berpengaruh,Tidak,
712,BASO MURSIDI,Teknik Sipil (D3),Fakultas Teknik,https://sinta.kemdiktisaintek.go.id/authors/profile/6692182,https://scholar.google.com/citations?user=-4VkMcUAAAAJ,57,23,1141120,232492,31,37,4,1,1,6,2,1,5,10,0,Rendah,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. [D] Lonjakan Tidak Wajar: 500% di Tahun 2021. 
713,MARDIANA NAPIRAH,Pendidikan Fisika (S1),Fakultas Keguruan dan Ilmu Pendidikan,https://sinta.kemdiktisaintek.go.id/authors/profile/6778853,https://scholar.google.com/citations?user=uuefp8cAAAAJ,201,115,827744,574014,31,34,4,0,1,0,6,4,5,10,5,Cukup,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
714,JUMATIN,Pendidikan Ekonomi (S1),Fakultas Keguruan dan Ilmu Pendidikan,https://sinta.kemdiktisaintek.go.id/authors/profile/6107029,https://scholar.google.com/citations?user=zJ2-e3IAAAAJ,112,82,1189260,780786,31,34,4,1,2,0,1,3,12,4,5,Rendah,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
715,MUHAMMAD IQBAL KUSUMABAKA RIANSE,Teknologi Pangan (S1),Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/6839613,https://scholar.google.com/citations?user=X1JRK0EAAAAJ,154,144,1115660,639922,31,27,2,1,1,0,0,5,9,9,3,Cukup,Tidak,
716,LA ODE MUHAMMAD YAMIN,Pendidikan Ekonomi (S1),Fakultas Keguruan dan Ilmu Pendidikan,https://sinta.kemdiktisaintek.go.id/authors/profile/6791505,https://scholar.google.com/citations?user=5vJ8R_0AAAAJ,275,227,1258610,1144990,31,20,3,0,0,0,1,6,17,7,0,Cukup,Ya,[D] Lonjakan Tidak Wajar: 500% di Tahun 2023. 
717,HASTUTI,Manajemen (S1),,https://sinta.kemdiktisaintek.go.id/authors/profile/6843949,,1227,776,1227,776,30,163,7,4,0,0,0,0,0,0,0,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. [C] Inaktif: Profil Tidak Ditemukan / 0 Publikasi. 
718,LAODE HARJUDIN,Ilmu Politik (S1),Fakultas Ilmu Sosial dan Ilmu Politik,https://sinta.kemdiktisaintek.go.id/authors/profile/6721844,https://scholar.google.com/citations?user=G_MYuT0AAAAJ,167,50,1176240,213928,30,135,6,3,9,4,1,3,4,1,0,Cukup,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
719,EKAJAYANTI KINING,Kimia (S1),Fakultas MIPA,https://sinta.kemdiktisaintek.go.id/authors/profile/6757617,https://scholar.google.com/citations?user=9ReuXZcAAAAJ,661,467,1474000,563690,30,112,6,4,0,8,2,1,4,8,3,Produktif,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
720,SITI BELINDA AMRI,Arsitektur (S1),Fakultas Teknik,https://sinta.kemdiktisaintek.go.id/authors/profile/6101674,https://scholar.google.com/citations?user=n850yuMAAAAJ,157,13,1352030,415906,30,111,5,2,1,0,1,3,6,6,0,Cukup,Tidak,
721,LA ODE MUH. MAGRIBI,Unknown,Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors?q=LA+ODE+MUH.+MAGRIBI&search=1,https://scholar.google.com/citations?user=WuEjx-UAAAAJ,0,0,0,0,30,109,5,3,6,0,0,2,0,0,0,Buruk,Tidak,
722,LUTFIANA NUR AZIZAH,Ilmu Kesejahteraan Sosial (S1),Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/6882068,https://scholar.google.com/citations?user=p-yyrGQAAAAJ,16,6,704652,301671,30,53,4,1,1,0,0,2,6,10,8,Rendah,Tidak,
723,MUSTAMIN,Teknik Elektronika (D3),Fakultas Teknik,https://sinta.kemdiktisaintek.go.id/authors/profile/6648771,https://scholar.google.com/citations?user=IdXK0K4AAAAJ,2088,696,2088,696,30,45,4,2,1,2,1,4,4,0,1,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
724,WOLTER MONGSIDI,Ilmu Keolahragaan (S1),Fakultas Keguruan dan Ilmu Pendidikan,https://sinta.kemdiktisaintek.go.id/authors/profile/6812593,https://scholar.google.com/citations?user=3HtEXf0AAAAJ,217,63,806246,191156,30,45,4,2,6,6,5,4,1,1,1,Cukup,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
725,ASMINAR,Teknik Elektro (S1),Fakultas Teknik,https://sinta.kemdiktisaintek.go.id/authors/profile/6762355,https://scholar.google.com/citations?user=MZhW34UAAAAJ,1190,342,0,0,30,44,4,1,0,3,7,5,6,2,4,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
726,AGUSRINAL,Ilmu Lingkungan (S1),Fakultas Kehutanan dan Ilmu Lingkungan,https://sinta.kemdiktisaintek.go.id/authors/profile/6668723,https://scholar.google.com/citations?user=g6c81ZYAAAAJ,289,181,991749,468567,30,39,3,1,2,1,2,4,7,8,1,Cukup,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
727,ARIE TOURSINO HADI,Tradisi Lisan (S1),Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/6712261,https://scholar.google.com/citations?user=5p9GK88AAAAJ,139,73,1627210,595381,30,38,4,0,1,5,4,9,2,2,0,Cukup,Tidak,
728,ANDI AWALUDDIN,Agroteknologi (S1),Fakultas Pertanian,https://sinta.kemdiktisaintek.go.id/authors/profile/6176918,https://scholar.google.com/citations?user=Uk0XpdMAAAAJ,146,71,0,0,30,36,3,0,0,0,0,0,0,0,0,Cukup,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
729,FITRIANI,Geografi (S1),Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/6804696,https://scholar.google.com/citations?user=AJqQvmAAAAAJ,1134,820,1134,820,30,33,4,0,3,3,0,2,2,7,2,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
730,SUMADI DILLA,Ilmu Komunikasi (S1),Fakultas Ilmu Sosial dan Ilmu Politik,https://sinta.kemdiktisaintek.go.id/authors/profile/6744969,https://scholar.google.com/citations?user=6ZN2QhcAAAAJ,77,9,1060200,227113,29,401,5,3,4,4,2,2,5,3,0,Rendah,Ya,[A] Nama Duplikat: Indikasi Profil Ganda. [B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
